city_id;name;plate_number;avatar
1;ADANA;1;https://drive.google.com/uc?id=19LQktbtv5VtjbTNvOFZUvH0ycfaDTT1o
2;ADIYAMAN ;2;https://drive.google.com/uc?id=1ttVkgseiGQLdr8JzwjhiH_ym2AzZafJA
3;AFYONKARAHİSAR;3;https://drive.google.com/uc?id=1zH9XD04SbfwEZk1JiR72MfD_CjrAHzxS
4;AĞRI;4;https://drive.google.com/uc?id=13lOVCaRG1q5XpPUkgb7MnVO6F5Pi0Un6
5;AMASYA ;5;https://drive.google.com/uc?id=192Cy6YUTiB_l-8pYLkKkG-ObV2e48sD_
6;ANKARA;6;https://drive.google.com/uc?id=1MqttPtvs15QHQ8tUiqtRexSH7z5rvIKo
7;ANTALYA;7;https://drive.google.com/uc?id=1ZNfGhOT7F3dOSspC0aQrb3SYU8alAeae
8;ARTVİN;8;https://drive.google.com/uc?id=1L12nlCgM6TDtB80eeKp8b4r5cxyzea9q
9;AYDIN;9;https://drive.google.com/uc?id=1RZ9vkj05a_ZlBqEvo-Jn89OfA3LSUpJr
10;BALIKESİR;10;https://drive.google.com/uc?id=1MD59LKJPCN64KDjjDbc92i0Q6xvBZTvA
11;BİLECİK;11;https://drive.google.com/uc?id=1nGh8t1XFsK9D3bcDLn3jGajWQFMWkOus
12;BİNGÖL;12;https://drive.google.com/uc?id=1BV79Fym1zSUI3tg7SQw2-LeLLvw6DJ0W
13;BİTLİS;13;https://drive.google.com/uc?id=1ppYYay5pZ_NwOODb7luaOxb5hUh6sJEV
14;BOLU;14;https://drive.google.com/uc?id=1lx1vk1ufTbge8s4odQ7ADRbaerIvHiQV
15;BURDUR;15;https://drive.google.com/uc?id=1Cz2mupyzHKdedp3v_28YopWfh8UEL7sw
16;BURSA;16;https://drive.google.com/uc?id=1j-8x3h6PQmQ3jYgX_KDYPlKppiAf80D4
17;ÇANAKKALE;17;https://drive.google.com/uc?id=1UD61SFvfK5FcVHowC41NEhqGtZ1a4SHu
18;ÇANKIRI;18;https://drive.google.com/uc?id=11Qc8Wq1o35yMuRmt583ACkrMctNU1C-b
19;ÇORUM;19;https://drive.google.com/uc?id=1S7gvXZXHHh97wPBlXER5coaRTPkgUsah
20;DENİZLİ;20;https://drive.google.com/uc?id=1M4tmawezNvsixS5ZmyChO7n-gZiD0TmK
21;DİYARBAKIR;21;https://drive.google.com/uc?id=1KMVuaL3HR6Ej4Z73SWlIzNN0itM-FPKD
22;EDİRNE;22;https://drive.google.com/uc?id=1x5Xr2jkyDBqxRuugdrS4bTtHA03p-k6U
23;ELAZIĞ;23;https://drive.google.com/uc?id=1TQmitqqi_TI0jWXOpmPmN4lMi7la2cQz
24;ERZİNCAN;24;https://drive.google.com/uc?id=1fGYu_tEGdRbxL6eC7Jv_BsBtBOtJKHKk
25;ERZURUM;25;https://drive.google.com/uc?id=13slAldWG_BaCFoTNHbZDl0JHE6AVp2iP
26;ESKİŞEHİR;26;https://drive.google.com/uc?id=1HxOBIljhFRgx28UuaKI-KOrcm-dZ_Hek
27;GAZİANTEP;27;https://drive.google.com/uc?id=1XGFOa8H7ZFIyu1dVDteYlJFs6miHRiBM
28;GİRESUN;28;https://drive.google.com/uc?id=1HPHdU9aEvN-dDA02o_hQ-8pl-8drcnQC
29;GÜMÜŞHANE;29;https://drive.google.com/uc?id=1jTqJI8XkV43BCFNq5jd7Cv1XJ1OwTDtC
30;HAKKARİ;30;https://drive.google.com/uc?id=1E__HWmH-xgX4CVGiO7jceQqZ_J3yLKGI
31;HATAY;31;https://drive.google.com/uc?id=1xJNdJZSeWTbn6U_qFxPBAwWo404BRLU8
32;ISPARTA;32;https://drive.google.com/uc?id=1LLhaFUYMzIb7xCcgRWSLS2fHPXZgeTzf
33;MERSİN;33;https://drive.google.com/uc?id=1St_F1MoWZDotk0poVxSkWIZEv2MWZlj7
34;İSTANBUL;34;https://drive.google.com/uc?id=1y4ADy_2sQj4F567xycnS-Px-n0f1Vx7w
35;İZMİR;35;https://drive.google.com/uc?id=1zW-dnM4-wgLqLvkY-pUylbjEDgTLBVzA
36;KARS;36;https://drive.google.com/uc?id=1eIZZSa4pCK9kYTAF-10-hU3bl_oy8t12
37;KASTAMONU;37;https://drive.google.com/uc?id=1mq3oliumbV8LWeaPZMlqbSBP9wBZrP4W
38;KAYSERİ;38;https://drive.google.com/uc?id=1PrLgeutcHykH1upCRAACm96GoV9-anNu
39;KIRKLARELİ;39;https://drive.google.com/uc?id=1OLmcAEddBTdGxB7sQpVv8vrWEgrj09QA
40;KIRŞEHİR;40;https://drive.google.com/uc?id=1fMOOLdNRvZ3qz9kcjCSy040fD00hbJ-E
41;KOCAELİ;41;https://drive.google.com/uc?id=1Il7Zw77RG-srwo-88YN1CfDzFHg9HVuW
42;KONYA;42;https://drive.google.com/uc?id=1JoE3XDGlu-ECQOcsdrOe6QbLC0q5TDAg
43;KÜTAHYA;43;https://drive.google.com/uc?id=1swkSgX0vrWNFmosn2KziwgoaLbK94g6T
44;MALATYA;44;https://drive.google.com/uc?id=1_aeu2rvBXY5PIrtkASOTkFA1coI7zxUs
45;MANİSA;45;https://drive.google.com/uc?id=1wUrSYqk-4gAuaxZ_qu0wMwSqAZt0HXkX
46;KAHRAMANMARAŞ;46;https://drive.google.com/uc?id=1gLaEh-qDU6LmqXns7v6nKoU9RAWlfdGt
47;MARDİN;47;https://drive.google.com/uc?id=15wl2hW3gfOXpUTHTc4FPJsNSDDpGWSNQ
48;MUĞLA;48;https://drive.google.com/uc?id=12uRAxaa743d8klaT5Wx53HFMpFWdsMHr
49;MUŞ;49;https://drive.google.com/uc?id=1V_Ycrq1T8AnZhOVk1IAC5_j7SSnZbNfZ
50;NEVŞEHİR;50;https://drive.google.com/uc?id=16sBHEGzKpiapRc2gpS9c4vLhhcKbPk6s
51;NİĞDE;51;https://drive.google.com/uc?id=1t43XBSOlRtMUwpxu82gvKnoGRJ_JbkZ-
52;ORDU;52;https://drive.google.com/uc?id=1mD2TEpFdBsvk9mOiK0p01cw7BeIRRvJa
53;RİZE;53;https://drive.google.com/uc?id=1uEbqOPpw6dNrfifcTWXqwA2-I5r1zzhA
54;SAKARYA;54;https://drive.google.com/uc?id=16NDYLITyCcgzQR-2Gi-EtA2Yk9qtCnTV
55;SAMSUN;55;https://drive.google.com/uc?id=1lKSMZ-gJtIe1Z4_2K5Bw_Fik3TsyZmLi
56;SİİRT;56;https://drive.google.com/uc?id=1DXePfLnWZcj9WbMjQgBC33DVev9Od-Td
57;SİNOP;57;https://drive.google.com/uc?id=1Pb5bdlmms_MbbX5uzx6CoePoQkKSX_Pu
58;SİVAS;58;https://drive.google.com/uc?id=1DpVd8KD0qRkmcq0ON2ZYUjabFUz2G_KV
59;TEKİRDAĞ;59;https://drive.google.com/uc?id=1Y-N35RuPP_JSCOAwgU1tQi8i5Jpdo9IJ
60;TOKAT;60;https://drive.google.com/uc?id=1FjNy5CoXDM9Z6jFgeMMxwCBU08PbJTFI
61;TRABZON;61;https://drive.google.com/uc?id=1ZpLbo7vRxBltk7XGYKC9iNQbde3TI_EV
62;TUNCELİ;62;https://drive.google.com/uc?id=1_HNf1EwLCBnnm2QN2C5rXHo3dmVB6vNH
63;ŞANLIURFA;63;https://drive.google.com/uc?id=1GbFJjDVK_8Rn55E5v4fFDAbEHN9jXsS5
64;UŞAK;64;https://drive.google.com/uc?id=1_nTxPycF2Oodah-_M51R0yiuwdVPH0gy
65;VAN;65;https://drive.google.com/uc?id=1lz-MJzqMe264mwvFZ3em9vzGrCpdymmD
66;YOZGAT;66;https://drive.google.com/uc?id=1X1JIzeMxwngyJPOq83GVEcnlm0AaCP1f
67;ZONGULDAK;67;https://drive.google.com/uc?id=1FJD1ng5sK4fdoQlhx5DgUm5zrn25-g1z
68;AKSARAY;68;https://drive.google.com/uc?id=1RA3emgYQ0qsck_mcZkOid4pdYG8FIBZu
69;BAYBURT;69;https://drive.google.com/uc?id=1rDYtq0UCmn8PK79nRcwt0dfBpLPhZjYR
70;KARAMAN;70;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
71;KIRIKKALE;71;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
72;BATMAN;72;https://drive.google.com/uc?id=1-Hwmp2HNW1FoFUdAuEGBEGPBbxko_OdO
73;ŞIRNAK;73;https://drive.google.com/uc?id=1xSHUaNJnh-sb8WlmnRrXX7NrrlnwxqSD
74;BARTIN;74;https://drive.google.com/uc?id=1HtpGz7WU5HpPAAosvcKMh0CpZw9Pb2Hn
75;ARDAHAN;75;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
76;IĞDIR;76;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
77;YALOVA;77;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
78;KARABÜK;78;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
79;KİLİS;79;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
80;OSMANİYE;80;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
81;DÜZCE;81;https://drive.google.com/uc?id=1tISWyAPcmhJp3DUHjzJXe_0KRb3mwr_c
