city_detail_id;feature;type_id;image
1;Şalgam;1;default_photo.png
2;Dövmeç;1;default_photo.png
3;Manda Yoğurdu;1;default_photo.png
4;Ayranaşı;1;default_photo.png
5;Amasya Elması;1;default_photo.png
6;Beypazarı Güveci;1;default_photo.png
7;Cevizli Baklava;1;default_photo.png
8;Kuymak;1;default_photo.png
9;Çingene Pilavı;1;default_photo.png
10;Keşkek;1;default_photo.png
11;Parmak Köftesi;1;default_photo.png
12;Ayran Çorbası;1;default_photo.png
13;Büryan Kebabı;1;default_photo.png
14;Bolubeyi Tatlısı;1;default_photo.png
15;Testi Kebabı;1;default_photo.png
16;İnegöl Köfte;1;default_photo.png
17;Ovmaç Çorbası;1;default_photo.png
18;Tava Çöreği;1;default_photo.png
19;Kuzu Tandır;1;default_photo.png
20;Biber Tatari;1;default_photo.png
21;Mumbar Dolması;1;default_photo.png
22;Kadınbudu Köfte;1;default_photo.png
23;Harput Köftesi;1;default_photo.png
24;Kuzu Dolması;1;default_photo.png
25;Cağ Kebabı;1;default_photo.png
26;Çiğ Börek;1;default_photo.png
27;Baklava;1;default_photo.png
28;Kuymak;1;default_photo.png
29;Golot (Hamurişi);1;default_photo.png
30;Perde Pilavı;1;default_photo.png
31;Tepsi Kebabı;1;default_photo.png
32;Gül Böreği;1;default_photo.png
33;Tantuni;1;default_photo.png
34;Sultanahmet Köftesi;1;default_photo.png
35;Boyoz;1;default_photo.png
36;Aşlama;1;default_photo.png
37;Banduma;1;default_photo.png
38;Mantı;1;default_photo.png
39;Labada Borani;1;default_photo.png
40;Kuzu Tandır;1;default_photo.png
41;Pişmaniye;1;default_photo.png
42;Bıçak Arası Pide/Etliekmek;1;default_photo.png
43;Çömlek Kebabı;1;default_photo.png
44;Kayısılı Kavurma;1;default_photo.png
45;Mesir Macunu;1;default_photo.png
46;Dondurma;1;default_photo.png
47;Kaburga Dolması;1;default_photo.png
48;Çökertme Kebabı;1;default_photo.png
49;Teter Helvası;1;default_photo.png
50;Testi Kebabı;1;default_photo.png
51;Niğde Mantısı;1;default_photo.png
52;Mıhlama;1;default_photo.png
53;Kavurmalı Pidesi;1;default_photo.png
54;Kaynarca Köftesi;1;default_photo.png
55;Samsun Pide;1;default_photo.png
56;Zılgıt;1;default_photo.png
57;Hamsi Buğulama;1;default_photo.png
58;Sübüra (Soğuk Ayran Çorbası);1;default_photo.png
59;Şarköy Buğulaması;1;default_photo.png
60;Zile Pekmezi;1;default_photo.png
61;Akçaabat Köftesi;1;default_photo.png
62;Tulum Peyniri;1;default_photo.png
63;Lahmacun;1;default_photo.png
64;Tarhana Çorbası;1;default_photo.png
